Ts,Bus1,Bus2,Bus3,Bus4,Bus5,Bus6,Bus7,Bus8,Bus9,Event
0,1.0,0.9285089607161648,0.9138620015969482,0.9322143348674472,0.900318786632258,0.8994493368645591,0.8849597810774097,0.902271857046454,0.8962941628742817,Load Bus 5-P-H
1,1.0,0.928600225280018,0.9139735118229312,0.9322833292325856,0.900440441357268,0.8995624560563347,0.885065205076996,0.9023652929884988,0.8963770399037366,Load Bus 5-P-H
2,1.0,0.9295658821963216,0.915153912953333,0.933013127129898,0.9017285203358036,0.9007598680226592,0.8861808818789874,0.9033539061723572,0.897253770154393,Load Bus 5-P-H
3,1.0,0.9282450578707676,0.9135396039803888,0.9320148089962365,0.8999670859527247,0.8991222854868322,0.8846549527244401,0.9020016736663332,0.89605449730517,Load Bus 5-P-H
4,1.0,0.9285941278559336,0.9139660615105568,0.9322787198014858,0.9004323131143535,0.8995548982551217,0.8850581615535363,0.9023590505032774,0.8963715029450461,Load Bus 5-P-H
5,1.0,0.9289381827304576,0.9143865147477624,0.9325387877002058,0.9008910580928436,0.8999814151572901,0.8854556240793665,0.9027112884979792,0.8966839124906215,Load Bus 5-P-H
6,1.0,0.928194590462499,0.9134779584544028,0.9319766493201714,0.8998998418992977,0.8990597497901601,0.8845966620162344,0.9019500049093032,0.8960086621523995,Load Bus 5-P-H
7,1.0,0.9285347941618944,0.9138935649329188,0.9322338648498044,0.9003532209206699,0.8994813556583958,0.8849896221781383,0.9022983051559336,0.8963176224304812,Load Bus 5-P-H
8,1.0,0.929108123512828,0.9145942365284376,0.9326672254311156,0.90111772263519,0.9001921308484884,0.8856519619715022,0.9028852696046676,0.8968382071842717,Load Bus 5-P-H
9,1.0,0.9291187022031556,0.9146071680490953,0.9326752201706264,0.9011318339677474,0.9002052487128884,0.8856641842402663,0.9028960997671476,0.8968478115801183,Load Bus 5-P-H
10,1.0,0.928742141351335,0.9141469268537868,0.9323906081030504,0.9006296420311031,0.8997383725875985,0.8852291454938983,0.9025105849364806,0.8965059076058319,Load Bus 5-P-H
11,1.0,0.9282666470904776,0.9135659758300164,0.9320311328167415,0.8999958532832104,0.8991490381179182,0.8846798889390042,0.9020237767768752,0.8960741046440311,Load Bus 5-P-H
12,1.0,0.927920141168144,0.9131427663532542,0.9317691123836628,0.8995342335103792,0.8987197156273863,0.8842796856880193,0.90166902085979,0.8957593883318704,Load Bus 5-P-H
13,1.0,0.9294085835343074,0.91496156785321,0.932894276033913,0.9015185926439,0.9005647536409344,0.8859991208217057,0.9031928704340552,0.8971109795072585,Load Bus 5-P-H
14,1.0,0.9292021595223368,0.9147091913762628,0.9327382904919058,0.9012431676866156,0.900308742038926,0.8857606096200589,0.9029815408541844,0.8969235811163047,Load Bus 5-P-H
15,1.0,0.9283201463094162,0.913631328711936,0.9320715832439472,0.9000671436185363,0.8992153345431104,0.8847416829665316,0.9020785493702618,0.8961226919610077,Load Bus 5-P-H
16,1.0,0.929240301337002,0.914755820673286,0.9327671139899354,0.9012940535906336,0.9003560430968256,0.8858046790409991,0.9030205892087756,0.8969582086261914,Load Bus 5-P-H
17,1.0,0.9305818619134204,0.9163968825308332,0.9337805115207104,0.9030854589235204,0.9020207087048928,0.8873551025183795,0.9043940014856784,0.8981758299164203,Load Bus 5-P-H
18,1.0,0.9286099136641026,0.9139853499312296,0.9322906532660914,0.9004533567008279,0.8995744649549392,0.8850763967772566,0.902375211861866,0.8963858377204794,Load Bus 5-P-H
19,1.0,0.9294443821387196,0.9150053401801356,0.93292132555932,0.9015663650156358,0.9006091562677836,0.8860404857988882,0.9032295196158514,0.8971434770985712,Load Bus 5-P-H
20,1.0,0.9289949691068092,0.9144559224614234,0.9325817070678896,0.9009667934565058,0.900051823382069,0.8855212298840052,0.90276942508262,0.8967354717976783,Load Bus 5-P-H
21,1.0,0.9284245769690428,0.9137589062043816,0.9321505390955732,0.9002063164871066,0.8993447536174816,0.8848623083257473,0.9021854653577496,0.896217531705794,Load Bus 5-P-H
22,1.0,0.928414468760949,0.9137465570450428,0.9321428968869327,0.9001928446556718,0.8993322262175851,0.8848506323906618,0.902175116603639,0.8962083520016451,Load Bus 5-P-H
23,1.0,0.929539806395372,0.9151220256248546,0.932993425634954,0.9016937171424791,0.900727521667882,0.8861507502004895,0.9033272109295836,0.8972300999933965,Load Bus 5-P-H
24,1.0,0.9288089823825734,0.914228610768902,0.9324411323526466,0.9007187654635723,0.8998212345005502,0.8853063625049136,0.9025790157147844,0.8965666005437445,Load Bus 5-P-H
25,1.0,0.9282633007632454,0.91356188816407,0.9320286026389388,0.8999913942975912,0.8991448914317012,0.8846760238159399,0.9020203507977468,0.8960710655188013,Load Bus 5-P-H
26,1.0,0.9282315707921523,0.9135231293695132,0.932004611183212,0.8999491150082934,0.8991055729903675,0.8846393748243857,0.901987865544445,0.8960422482524213,Load Bus 5-P-H
27,1.0,0.928550104213174,0.913912271096172,0.9322454390525172,0.9003736287470803,0.8995003317379742,0.8850073074673636,0.9023139794727518,0.896331525499125,Load Bus 5-P-H
28,1.0,0.929288261226374,0.914814454955303,0.9328033560329017,0.9013580415575912,0.9004155220035434,0.8858600931803043,0.903069688914398,0.8970017488632644,Load Bus 5-P-H
29,1.0,0.9288107787512248,0.9142308061069166,0.9324424901772328,0.900721160781194,0.8998234614959364,0.88530843775463,0.9025808548060184,0.8965682316593558,Load Bus 5-P-H
30,1.0,0.9297392509749868,0.9153659386487824,0.9331441077514444,0.9019599442668138,0.9009749451716788,0.8863812236815218,0.9035313927655588,0.8974111385125575,Load Bus 5-P-H
31,1.0,0.9292966489288312,0.9148247097476548,0.93280969429824,0.9013692328141376,0.9004259245061017,0.8858697846499962,0.9030782759505868,0.8970093635292663,Load Bus 5-P-H
32,1.0,0.929731689804678,0.9153566908677382,0.9331383955429564,0.9019498500421036,0.9009655643232404,0.8863724858791916,0.903523652027145,0.8974042753961723,Load Bus 5-P-H
33,1.0,0.9282120038410814,0.91349922845978,0.931989816135954,0.8999230434424242,0.8990813269494785,0.8846167746508289,0.9019678328143318,0.8960244773077457,Load Bus 5-P-H
34,1.0,0.9286371522175448,0.9140186328765416,0.9323112443140178,0.9004896685891277,0.8996082280580007,0.8851078620483243,0.902403098409388,0.8964105722992093,Load Bus 5-P-H
35,1.0,0.9292552716162646,0.914774122617965,0.9327784267494246,0.9013140264775986,0.90037460869051,0.8858219760040591,0.9030359152812448,0.8969717994353543,Load Bus 5-P-H
36,1.0,0.9293461772160942,0.914885264453572,0.932847120297767,0.901435318183828,0.9004873513839379,0.8859270120834492,0.9031289812246877,0.8970543266282814,Load Bus 5-P-H
37,1.0,0.9292061016788912,0.9147140106884862,0.9327412695810734,0.901248426896274,0.9003136307829204,0.885765164399051,0.9029855767088713,0.8969271600748905,Load Bus 5-P-H
38,1.0,0.9297400472435856,0.9153669125377154,0.9331447093039557,0.9019610072967816,0.9009759330739144,0.88638214386271,0.9035322079444248,0.8974118612678424,Load Bus 5-P-H
39,1.0,0.9289331915863052,0.9143804144318726,0.9325350153067494,0.9008844017216808,0.8999752268990908,0.8854498578270542,0.902706178673841,0.8966793807167531,Load Bus 5-P-H
40,1.0,0.9283393296436512,0.9136547631537804,0.9320860873463512,0.9000927075264722,0.8992391072949554,0.8847638408595017,0.9020981892755612,0.8961401137815262,Load Bus 5-P-H
