Ts,Bus1,Bus2,Bus3,Bus4,Bus5,Bus6,Bus7,Bus8,Bus9,Event
0,1.0,0.9274406361201606,0.9125573177177267,0.9314064373374084,0.8988957613452524,0.8981258023658486,0.8837259488258237,0.901178091934274,0.8953238065233756,Load Bus 5-P-H
1,1.0,0.9296946559387916,0.9153113970177268,0.9331104173430886,0.9019004109545532,0.9009196187007243,0.8863296893179212,0.9034857386239988,0.8973706602338389,Load Bus 5-P-H
2,1.0,0.9291375451762086,0.9146302022175528,0.9326894604382246,0.9011569698257708,0.9002286147932946,0.8856859548974502,0.902915390657232,0.8968649190227065,Load Bus 5-P-H
3,1.0,0.9293412555255868,0.9148792469390088,0.9328434012755672,0.901428751006213,0.9004812472033792,0.8859213252750595,0.9031239425794964,0.897049858625428,Load Bus 5-P-H
4,1.0,0.9285296629038764,0.9138872955010272,0.932229985661932,0.9003463812007179,0.8994749957609977,0.8849836948649904,0.9022930518101404,0.8963129627130457,Load Bus 5-P-H
5,1.0,0.9286643507842544,0.9140518677243544,0.9323318048150966,0.9005259284252699,0.8996419423391702,0.8851392814176393,0.9024309439916536,0.8964352703081602,Load Bus 5-P-H
6,1.0,0.9289119535407808,0.9143544569869068,0.9325189631020664,0.9008560783661304,0.8999488952395018,0.8854253216930705,0.9026844356174668,0.8966600972607934,Load Bus 5-P-H
7,1.0,0.9284195159038154,0.9137527231068104,0.9321467127337784,0.900199571271623,0.8993384812772416,0.884856462312317,0.9021802838543486,0.8962129355364788,Load Bus 5-P-H
8,1.0,0.9286961905295044,0.9140907747528968,0.932355873366434,0.9005683772520636,0.8996814105871256,0.8851760625736821,0.9024635411249948,0.8964641824702896,Load Bus 5-P-H
9,1.0,0.92892799411449,0.9143740619638472,0.932531086955762,0.9008774702293468,0.8999687828526426,0.8854438532154864,0.90270085761499,0.8966746615957186,Load Bus 5-P-H
10,1.0,0.9289767554239932,0.9144336602426616,0.9325679412471152,0.900942501470516,0.9000292402682109,0.8855001873160304,0.9027507783464152,0.8967189347706065,Load Bus 5-P-H
11,1.0,0.929252794477839,0.9147710941713102,0.9327765548291168,0.9013107215290052,0.9003715366181498,0.8858191138621282,0.9030333792701384,0.8969695505639157,Load Bus 5-P-H
12,1.0,0.9280875769882978,0.913347250972946,0.931895730159886,0.8997572685862655,0.8989271545257834,0.88447306290978,0.9018404437283156,0.895911468213304,Load Bus 5-P-H
13,1.0,0.9287320565730616,0.9141346030252124,0.9323829849852076,0.900616196008266,0.8997258710159692,0.8852174953706239,0.9025002602875694,0.8964967502977924,Load Bus 5-P-H
14,1.0,0.9285068382760112,0.9138594084274292,0.9322127302984125,0.9003159576089264,0.8994467062744713,0.8849573293854549,0.9022696841052896,0.8962922354592704,Load Bus 5-P-H
15,1.0,0.9289223735859528,0.9143671924576118,0.9325268388370151,0.900869974588352,0.8999618143130199,0.8854373598606802,0.9026951034387386,0.8966695583434376,Load Bus 5-P-H
16,1.0,0.9290530506537684,0.9145269166677212,0.932625603879722,0.9010442618618976,0.9001238408314354,0.8855883333278873,0.9028288875104348,0.8967882058822206,Load Bus 5-P-H
17,1.0,0.9297478923580598,0.915376507670459,0.9331506359930548,0.901971480704998,0.900985666269375,0.88639120982207,0.9035402393678488,0.8974189820905019,Load Bus 5-P-H
18,1.0,0.92878936219184,0.9142046331922136,0.9324263019108014,0.9006926038188386,0.899796911152287,0.8852836964176758,0.902558928894476,0.8965487851968393,Load Bus 5-P-H
19,1.0,0.92849244170848,0.9138418190121518,0.932201846413172,0.9002967684696881,0.8994288630313503,0.8849406995405988,0.9022549449836752,0.8962791617109045,Load Bus 5-P-H
20,1.0,0.9296273131478776,0.9152290378694364,0.9330595399170092,0.901810516437808,0.900836074270742,0.8862518689887444,0.9034167963437488,0.8973095327949573,Load Bus 5-P-H
21,1.0,0.9297763211877048,0.9154112786903912,0.9331721126761467,0.902009434734308,0.9010209375824796,0.8864240629101677,0.9035693433180034,0.8974447860745579,Load Bus 5-P-H
22,1.0,0.9291631219378388,0.9146614685460324,0.9327087894079756,0.9011910892923364,0.900260331631951,0.8857155058157353,0.9029415753840764,0.8968881398378372,Load Bus 5-P-H
23,1.0,0.9293109156552548,0.9148421523948848,0.9328204750458416,0.901388268411671,0.9004436183908318,0.8858862690314953,0.903092881719757,0.8970223153328871,Load Bus 5-P-H
24,1.0,0.9293925935550792,0.9149420167246636,0.9328821937787688,0.9014972551145922,0.9005449209687487,0.8859806447044006,0.90317650051657,0.897096463827468,Load Bus 5-P-H
