Ts,Bus1,Bus2,Bus3,Bus4,Bus5,Bus6,Bus7,Bus8,Bus9,Event
0,0.0,5.287245404742594,2.315205911281266,-0.6817092964576947,-1.3136526191985547,0.3087224755013263,-0.107901487271029,1.508746894310625,-0.8027430105602603,Load Bus 5-P-H
1,0.0,5.294886677706506,2.3257756420733786,-0.6751996834999413,-1.30097644872882,0.3197898742056982,-0.0979361391871637,1.517152150302077,-0.7950685975401452,Load Bus 5-P-H
2,0.0,5.376137812077309,2.438069678218749,-0.606025827159274,-1.1663818842367994,0.4373406391120179,0.0079197671187328,1.6064726037839945,-0.7135287115316086,Load Bus 5-P-H
3,0.0,5.2651861749117215,2.2846838844365487,-0.7005056214941169,-1.3502645549958263,0.2767605482707923,-0.1366798120366061,1.4844771991099828,-0.8249037254259532,Load Bus 5-P-H
4,0.0,5.2943759585551335,2.325069242495771,-0.6756347436052642,-1.3018235866999064,0.3190502298326577,-0.0986021377921297,1.5165903964015286,-0.7955814993958137,Load Bus 5-P-H
5,0.0,5.323239356653112,2.3649806552941697,-0.6510522449404815,-1.2539694132680563,0.3608364931334992,-0.0609753140226897,1.548331867876433,-0.76660197588997,Load Bus 5-P-H
6,0.0,5.260973840556054,2.278854046396993,-0.7040955681590239,-1.3572588071133105,0.270655210229674,-0.1421768601210728,1.4798419244051708,-0.8291364232626227,Load Bus 5-P-H
7,0.0,5.289407693039741,2.3181970379273715,-0.6798671667306156,-1.3100652618582311,0.3118544875523785,-0.1050813665797554,1.5111254601458146,-0.8005712394737845,Load Bus 5-P-H
8,0.0,5.337530224664987,2.384733429790216,-0.6388847069929462,-1.2302923529292775,0.3815145498854212,-0.0423546786952721,1.564043095783433,-0.7522590462398053,Load Bus 5-P-H
9,0.0,5.338420571182836,2.385963883732513,-0.6381267300610369,-1.2288175912117154,0.3828025851191141,-0.0411947807039148,1.5650218319880282,-0.751365574950938,Load Bus 5-P-H
10,0.0,5.30678173832941,2.342226289255667,-0.6650676877323594,-1.2812498942348736,0.3370141000089158,-0.0824267014129349,1.5302347384765362,-0.7831240049628284,Load Bus 5-P-H
11,0.0,5.266988752747649,2.287178492564917,-0.698969447974348,-1.347271809146012,0.2793729974619094,-0.1343276318333624,1.4864606828522469,-0.823092529984698,Load Bus 5-P-H
12,0.0,5.238101038343594,2.247189925263533,-0.7235926632079762,-1.395254140522897,0.2374920855303808,-0.1720349556111968,1.4546678581278851,-0.8521253267831141,Load Bus 5-P-H
13,0.0,5.362852501291489,2.419720500982282,-0.6173309029047872,-1.188365260443017,0.4181362991843987,-0.0093752727009554,1.59187463393864,-0.7268533200943147,Load Bus 5-P-H
14,0.0,5.345447774058926,2.395674703066154,-0.6321446138634722,-1.2171792824277343,0.3929676050910997,-0.0320409245827378,1.5727462484489454,-0.7443141974679567,Load Bus 5-P-H
15,0.0,5.271457194302212,2.2933620435280995,-0.6951615737764788,-1.3398537992536943,0.2858485290034869,-0.1284971935435237,1.491377362312523,-0.818602975723859,Load Bus 5-P-H
16,0.0,5.34866118545808,2.400114848217425,-0.6294093015397354,-1.2118581741885113,0.3976152889412915,-0.0278555211468828,1.5762782368836976,-0.7410900199740743,Load Bus 5-P-H
17,0.0,5.462421302311894,2.55712895404629,-0.5326549394576596,-1.0238339365264226,0.561912893165348,0.1201192127122429,1.701217857650697,-0.6270644927751919,Load Bus 5-P-H
18,0.0,5.295698234552341,2.3268981300650657,-0.6745083590151185,-1.2996303353279128,0.3209651845247032,-0.0968778519758059,1.5180447956956298,-0.7942535817455784,Load Bus 5-P-H
19,0.0,5.365874299803755,2.4238945046759,-0.6147593293300062,-1.183364228244915,0.4225049621866483,-0.0054409875565885,1.595195232864835,-0.7238223125136307,Load Bus 5-P-H
20,0.0,5.3280121827852165,2.371578236773474,-0.646988285975941,-1.2460605962978946,0.3677433180464797,-0.0547557684947862,1.5535794026416891,-0.7618113628872092,Load Bus 5-P-H
21,0.0,5.280186010873567,2.305439672364749,-0.6877238435447904,-1.3253663061190082,0.2984959584845478,-0.1171095349238282,1.5009809096521591,-0.8098339409976516,Load Bus 5-P-H
22,0.0,5.279340747749661,2.304270213173671,-0.6884440420718514,-1.32676903586671,0.2972713547645839,-0.1182121693907677,1.5000509916471358,-0.8106830394810253,Load Bus 5-P-H
23,0.0,5.37393411749932,2.435026338260081,-0.6079009035126528,-1.1700277186125323,0.4341555667387882,0.0050513205252248,1.6040513540809462,-0.7157387116306835,Load Bus 5-P-H
24,0.0,5.312389643492128,2.349980609571985,-0.6602915776672003,-1.271952484519761,0.3451326444738308,-0.0751162709098014,1.5364017617802228,-0.777493615364801,Load Bus 5-P-H
25,0.0,5.2667093294383625,2.2867918012333464,-0.699207572436528,-1.347735712487807,0.2789680413332449,-0.1346922442544056,1.4861532200210943,-0.8233732852917434,Load Bus 5-P-H
26,0.0,5.264060263325777,2.2831256782453906,-0.7014651540960115,-1.352133948978501,0.2751287209738204,-0.1381490614032329,1.4832382665293875,-0.8260350489935908,Load Bus 5-P-H
27,0.0,5.290689406864739,2.3199699933425384,-0.6787752566104006,-1.3079389459732529,0.3137109323489238,-0.1034097834693723,1.512535340851591,-0.7992839437829542,Load Bus 5-P-H
28,0.0,5.352703387949806,2.405699791756961,-0.6259686857760899,-1.2051654469063795,0.4034611572699628,-0.022591068205667,1.5807209635882489,-0.7370345315260534,Load Bus 5-P-H
29,0.0,5.312540405251035,2.3501890636394127,-0.6601631829787629,-1.2717025580258647,0.345350886078712,-0.0749197516664676,1.536567548273172,-0.7773422567372242,Load Bus 5-P-H
30,0.0,5.390803112739446,2.458319463450762,-0.5935489314285284,-1.142125879176134,0.4585324492788226,0.0270052672375405,1.622583869551568,-0.6988236020765873,Load Bus 5-P-H
31,0.0,5.353410514726681,2.40667675523346,-0.6253668185317998,-1.203994737193432,0.4044837497173114,-0.0216701754257109,1.5814981314438243,-0.7363251099111376,Load Bus 5-P-H
32,0.0,5.390163013803943,2.457435735272583,-0.5940934585010303,-1.1431843477724537,0.4576076473817256,0.0261723710535893,1.6218807249131826,-0.6994653604388772,Load Bus 5-P-H
33,0.0,5.262427050040597,2.2808653309304017,-0.7028570508863098,-1.3548457575371673,0.2727615589688811,-0.1402803779723918,1.4814410741732258,-0.8276761528755829,Load Bus 5-P-H
34,0.0,5.297980290460133,2.330054414098123,-0.6725644335811984,-1.2958453240649608,0.3242699677845281,-0.0939021086160685,1.5205548151555648,-0.7919618618967271,Load Bus 5-P-H
35,0.0,5.34992273051072,2.4018579190068445,-0.628335486485375,-1.2097693241945653,0.3994398095782271,-0.0262124677826318,1.5776648091221517,-0.7398242977438211,Load Bus 5-P-H
36,0.0,5.357587139233567,2.4124468931702308,-0.6218120304991306,-1.1970805167391008,0.4105232954113095,-0.0162312501124574,1.586088299201321,-0.7321351097980169,Load Bus 5-P-H
37,0.0,5.345779843865714,2.396133554602587,-0.6318619443885982,-1.2166293804372954,0.3934479080284348,-0.0316083961992014,1.573111246744955,-0.7439810067237145,Load Bus 5-P-H
38,0.0,5.390870523922045,2.458412531640818,-0.593491585479902,-1.142014408914025,0.4586298429219305,0.0270929820730759,1.6226579200410902,-0.6987560164437671,Load Bus 5-P-H
